time,open,high,low,close,tick_volume,spread,real_volume,returns,EMA50,EMA200,H-L,H-C,L-C,TR,ATR,future_return,target,ml_signal,final_signal
2025-08-14 18:00:00,3340.69,3342.78,3335.26,3341.64,8472,27,0,0.0003203046186728,3351.8431452325785,3352.5888561061347,7.519999999999982,2.2100000000000364,5.309999999999945,7.519999999999982,9.727142857142846,-7.329999999999927,0,1,0
2025-08-14 19:00:00,3341.7,3341.98,3329.73,3334.31,9211,27,0,-0.0021935337139846,3350.319374977328,3351.28312620336,12.25,0.3400000000001455,11.909999999999854,12.25,10.134285714285722,3.4200000000000728,1,1,0
2025-08-14 20:00:00,3334.15,3338.41,3331.77,3337.73,6605,27,0,0.0010256994700552,3349.275063428517,3350.371051290185,6.639999999999873,4.099999999999909,2.539999999999964,6.639999999999873,9.99714285714286,0.42000000000007276,1,1,0
2025-08-14 21:00:00,3337.76,3339.27,3335.97,3338.15,5113,27,0,0.000125834024921,3348.3908895320983,3349.5932252878238,3.300000000000182,1.5399999999999636,1.7600000000002185,3.300000000000182,10.002857142857172,-0.19000000000005457,0,1,0
2025-08-14 22:00:00,3338.01,3340.99,3337.86,3337.96,4539,27,0,-5.691775384575326e-05,3347.593969817563,3348.890543605072,3.1299999999996544,2.8399999999996908,0.2899999999999636,3.1299999999996544,9.824285714285711,-2.800000000000182,0,1,0
2025-08-14 23:00:00,3337.97,3338.45,3334.33,3335.16,2882,30,0,-0.0008388356960539,3346.6780718328337,3348.1010116652933,4.119999999999891,0.4899999999997817,3.630000000000109,4.119999999999891,9.661428571428557,-1.8699999999998909,0,1,0
2025-08-15 01:00:00,3336.34,3337.55,3332.42,3333.29,2185,27,0,-0.0005606927403782,3345.7247318349137,3347.288010323336,5.130000000000109,2.3900000000003274,2.7399999999997817,5.130000000000109,8.402857142857133,2.2100000000000364,1,1,0
2025-08-15 02:00:00,3333.31,3336.56,3332.14,3335.5,1986,27,0,0.0006630086191119,3345.019218582512,3346.6687758924486,4.420000000000073,3.269999999999982,1.150000000000091,4.420000000000073,8.086428571428542,1.5100000000002183,1,1,0
2025-08-15 03:00:00,3335.48,3338.63,3332.34,3337.01,3525,27,0,0.0004527057412682,3344.482561525129,3346.182114348001,6.289999999999964,3.130000000000109,3.1599999999998545,6.289999999999964,7.531428571428543,2.519999999999982,1,1,0
2025-08-15 04:00:00,3337.04,3340.21,3333.25,3339.53,5341,27,0,0.000755167050743,3344.1596879417684,3345.8599706654404,6.960000000000036,3.199999999999818,3.7600000000002174,6.960000000000036,7.532857142857113,0.9899999999997817,1,1,0
